TITLE;;YEAR_FOR_ANALYSIS;TONAL_CERTAINTY_PIECE;MEAN_TONAL_CERTAINTY_MEASURES;PITCH_CLASS_ENTROPY_PIECE;MEAN_PITCH_CLASS_ENTROPY_MEASURES;MAX_MELODIC_INTERVAL_ENTROPY_OF_ALL_TRACKS;MAX_MEAN_MELODIC_INTERVAL_ENTROPY_MEASURES;MAX_IOI_ENTROPY_OF_ALL_TRACKS;MAX_MEAN_IOI_ENTROPY_MEASURES;LENGTH
039-BEETHOVEN, Ludwig von - Piano Sonata No-23.mid;BEETHOVEN;1804;1.0206803714797341;0.9698613768119873;3.314796327553599;3.186103675386025;4.145867965070252;3.376931038932767;2.985754571401189;1.9880282618381657;1543.4725506980399
040-BEETHOVEN, Ludwig von - Piano Sonata No-24.mid;BEETHOVEN;1809;1.0837962668614392;0.9406853766505013;3.2764693221030736;3.103001272816589;3.893125057650045;0.0;2.7595224994756857;0.18365916681089792;436.3484939958273
041-BEETHOVEN, Ludwig von - Piano Sonata No-25.mid;BEETHOVEN;1809;1.2713069306878346;1.0943115009671258;3.3343819222218314;3.0587487704093603;3.82043346149869;2.613016540566782;2.2724499682094113;1.429433216604055;415.7083220000004
042-BEETHOVEN, Ludwig von - Piano Sonata No-27.mid;BEETHOVEN;1814;0.9081948668096644;1.180412818339535;3.370741771232701;3.2028297110243162;3.8139328377814854;2.896976025997116;2.34296417588597;1.859356595095464;716.4220245729202
043-BEETHOVEN, Ludwig von - Piano Sonata No-32.mid;BEETHOVEN;1822;1.5115912748987999;1.131538246828822;3.398017435668428;3.2751513511957215;4.141192642217703;3.052579895365587;3.282511204639725;1.7431503427250818;1257.5628673812687
055-BEETHOVEN, Ludwig von - Sonata No-29 No-01 (Hammerklavier).mid;BEETHOVEN;1818;1.0026818600442153;1.1877304533352204;3.429515407906201;3.1710824660681585;4.074918638908474;3.632571045295294;1.5676872342056711;1.2996124887072371;663.240727687493
056-BEETHOVEN, Ludwig von - Sonata No-29 No-02 (Hammerklavier).mid;BEETHOVEN;1818;0.706732230336991;1.0616066910251447;3.2835491350071058;3.049577376007446;4.0476034980482325;3.283459598844123;2.671095550820628;1.7483453759556502;150.94311554166677
057-BEETHOVEN, Ludwig von - Sonata No-29 No-03 (Hammerklavier).mid;BEETHOVEN;1818;1.1578534658716286;1.2491578193294068;3.4113512222836806;3.261145955152111;4.009949452049712;3.172959996445634;2.5618903090186476;1.4279437093505025;1008.5598598333198
058-BEETHOVEN, Ludwig von - Sonata No-29 No-04 (Hammerklavier).mid;BEETHOVEN;1818;1.155783846292312;0.9082302406360132;3.5441764017394464;3.335298752395382;3.5447829351299784;3.2766149969787515;2.50237114208463;2.448601104906794;690.8399640416897
068-BRAHMS, Johannes - HAYDN - Variations (4 tracks GM file).mid;BRAHMS;1873;1.0101744337191858;0.953597141186721;3.2086261620648955;2.9745410682960447;4.065065857952785;3.384636458353375;2.6119162427412395;1.7805551550982894;941.5204164248407
071-BRAHMS, Johannes - Piano Sonata No-01.mid;BRAHMS;1853;1.1996675668476473;1.195778320002758;3.4568350759845354;3.4030269399064808;3.828258114169772;3.476231425663643;3.05820057147771;2.218463582294764;1340.0657199479278
072-BRAHMS, Johannes - Piano Sonata No-02.mid;BRAHMS;1852;1.1594170554439935;0.9341804604833039;3.5206358893584575;3.32696284496775;4.118565243362811;3.4683343331055685;3.6738056898323097;2.1122618725868714;1250.4422727999925
073-BRAHMS, Johannes - Piano Sonata No-03.mid;BRAHMS;1853;0.8964457553858485;0.9352413357307753;3.4492409298422104;3.323867037972084;4.000841700616746;3.4242005678389975;3.1833558309739747;2.8389307054106516;1815.4685558083722
074-BRAHMS, Johannes - Piano Variations Op-9.mid;BRAHMS;1854;1.0913583127845174;1.0534728191780773;3.400062401001973;3.2045361300122166;4.199647464488965;3.3916640761594654;3.4184251147930627;2.343290838470841;840.2304018458632
076-BRAHMS, Johannes - Scherzo Op.4.mid;BRAHMS;1851;1.4882189589588923;0.9299552793703202;3.370915326411737;3.0977660702353496;4.013201723183541;3.477189825427592;2.7683442629910373;1.7774633733842842;753.3575118749765
078-BRAHMS, Johannes - Waltz 01.mid;BRAHMS;1865;1.2481535093442795;1.1473326545636082;3.072896234653194;3.05303359992328;3.771820842035873;3.2715983798534243;1.2554837180967087;0.0;54.42432829166675
079-BRAHMS, Johannes - Waltz 02.mid;BRAHMS;1865;1.2810228497538643;1.246544239812764;2.915565948971536;2.8197333455747575;3.5355395849307087;3.058061368596471;1.694813792846759;0.9977601089695262;69.99992999999978
080-BRAHMS, Johannes - Waltz 03.mid;BRAHMS;1865;1.0987540100932112;0.9767658055899038;2.8121258649052354;2.7937523260754054;3.7960765402551813;3.075921103717449;0.9134566793249181;0.5910285785539962;38.36166666666673
081-BRAHMS, Johannes - Waltz 04.mid;BRAHMS;1865;1.1179768415208167;0.9847666513866138;3.2878109964527495;3.2373980735318484;4.13033051111344;2.869234065398343;1.341168785472918;0.0;89.17295069999994
082-BRAHMS, Johannes - Waltz 05.mid;BRAHMS;1865;1.3317646706877155;1.0913766690713704;2.928460754086572;2.8888971562399837;3.9445738248854574;3.3046646107943403;0.9776793058867446;0.5045160978719478;63.809460000000165
