TITLE;TYPE;LENGTH;TEMPO;DEFAULT_TEMPO[IN_THIS_CASE_512820_YAMAHA_DISKLAVIER_STANDARD];POSITIVE[TYPE==1&&NOT(DEFAULT_TEMPO)];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
Schubert Fantasie in C-Maj Op-15 D-760 4th Mov ''Wanderer'' (1822).mid;0;208.21827468749962; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Klaviersonate (1823) in A-min D-784 Op-143 1st Mov.mid;0;750.467999531293; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Klaviersonate (1823) in A-min D-784 Op-143 2nd Mov.mid;0;229.53102046874872; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Klaviersonate (1823) in A-min D-784 Op-143 3rd Mov.mid;0;329.3479612500118; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Sechs Moments Musicaux D-780 Op-94 (1828) No-01.mid;0;270.2134050000006; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Sechs Moments Musicaux D-780 Op-94 (1828) No-02.mid;0;322.44892968750577; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Sechs Moments Musicaux D-780 Op-94 (1828) No-03.mid;0;107.45582203124985; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Sechs Moments Musicaux D-780 Op-94 (1828) No-04.mid;0;311.38323562500204; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Sechs Moments Musicaux D-780 Op-94 (1828) No-05.mid;0;122.4184139062502; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Sechs Moments Musicaux D-780 Op-94 (1828) No-06.mid;0;315.0197170312538; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Sonata in Bb-Maj D-960 1st Mov (1828).mid;0;1323.481492348972; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Schubert Sonata in Bb-Maj D-960 2nd Mov (1828).mid;0;513.396588153642; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Schubert Sonata in Bb-Maj D-960 3rd Mov (1828).mid;0;233.0531060156278; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Schubert Sonata in Bb-Maj D-960 4th Mov (1828).mid;0;481.7138657473797; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Schubert Vier Impromptus D-899 Op-90 (1827) No-01.mid;0;467.0868726562653; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Vier Impromptus D-899 Op-90 (1827) No-02.mid;0;272.8723232812611; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Vier Impromptus D-899 Op-90 (1827) No-03.mid;0;315.81165000000533; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Vier Impromptus D-899 Op-90 (1827) No-04.mid;0;423.0337650000143; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Vier Impromptus D-935 Op-142 (Posthume) No-1.mid;0;521.9225550000313; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schubert Vier Impromptus D-935 Op-142 (Posthume) No-2.mid;0;386.81184609375856; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Abegg-Variationen Op-01 (1830).mid;0;373.12062046876036; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kinderszenen Opus-15 (1838) A Tale of Distant Lands.mid;0;82.04185171874965; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kinderszenen Opus-15 (1838) Almost too Serious.mid;0;74.48844046874996; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kinderszenen Opus-15 (1838) Blind Man's Bluff.mid;0;34.36294640625006; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kinderszenen Opus-15 (1838) By the Fireside.mid;0;70.49004703124992; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kinderszenen Opus-15 (1838) Curious Story.mid;0;58.83808218749978; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kinderszenen Opus-15 (1838) Great Adventure.mid;0;49.955879531249856; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kinderszenen Opus-15 (1838) Hobgoblin.mid;0;79.40964281249974; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kinderszenen Opus-15 (1838) In Slumberland.mid;0;86.26193296875; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kinderszenen Opus-15 (1838) On the Rocking Horse.mid;0;40.857330937499874; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kinderszenen Opus-15 (1838) Perfect Happiness.mid;0;75.80921906249995; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kinderszenen Opus-15 (1838) Pleading Child.mid;0;43.099582968749964; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kinderszenen Opus-15 (1838) Reverie.mid;0;130.30302140624997; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kinderszenen Opus-15 (1838) The Poet Speaks.mid;0;80.46599859374993; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kreisleriana Op-16 (1838) No-01.mid;0;150.67292624999874; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kreisleriana Op-16 (1838) No-02.mid;0;443.0470996875129; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kreisleriana Op-16 (1838) No-03.mid;0;256.9081298437464; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kreisleriana Op-16 (1838) No-04.mid;0;209.72067703124927; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kreisleriana Op-16 (1838) No-05.mid;0;197.3315334374992; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kreisleriana Op-16 (1838) No-06.mid;0;248.17149328124967; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kreisleriana Op-16 (1838) No-07.mid;0;126.73999078124899; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Kreisleriana Op-16 (1838) No-08.mid;0;234.72599390624995; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Schumann Symphonic Etude in C#-min Op-13.mid;0;2297.642407117474; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Scriabin - Etude in C#-min Op-02 No-01 (1887).mid;0;159.82654072395908; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Scriabin - Etude Op-08 (1894) No-02 in F#.mid;0;91.58395452604171; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Scriabin - Etude Op-08 (1894) No-12 in E# min.mid;0;120.75198437239722; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Tchaikovsky - 01-Die Jahreszeiten Januar.mid;0;284.1984337500004; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Tchaikovsky - 02-Die Jahreszeiten Februar.mid;0;164.65795499999876; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Tchaikovsky - 03-Die Jahreszeiten Maerz.mid;0;137.56663593749994; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Tchaikovsky - 04-Die Jahreszeiten April.mid;0;128.63502093749966; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Tchaikovsky - 05-Die Jahreszeiten Mai.mid;0;195.6461718750007; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Tchaikovsky - 06-Die Jahreszeiten Juni.mid;0;234.5403637500012; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Tchaikovsky - 07-Die Jahreszeiten Juli.mid;0;115.04796187499971; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Tchaikovsky - 08-Die Jahreszeiten August.mid;0;192.31951921874514; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Tchaikovsky - 09-Die Jahreszeiten September.mid;0;165.18546515625042; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Tchaikovsky - 10-Die Jahreszeiten Oktober.mid;0;193.92074624999944; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Tchaikovsky - 11-Die Jahreszeiten November.mid;0;178.39325109374707; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Tchaikovsky - 12-Die Jahreszeiten Dezember.mid;0;241.15226953125017; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
