TITLE;TYPE;LENGTH;TEMPO;DEFAULT_TEMPO[IN_THIS_CASE_512820_YAMAHA_DISKLAVIER_STANDARD];POSITIVE[TYPE==1&&NOT(DEFAULT_TEMPO)];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
Borodin Petite Suite-7 Nocturne.mid;0;126.90024703124999; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Brahms Fantasia Op-116 No-02 Intermezzo.mid;1;160.48448351250005; <meta message set_tempo tempo=1061947 time=1069>;0;1;0;;;1892;;;
Brahms Fantasia Op-116 No-05 Intermezzo.mid;0;177.66408515625002; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Brahms Fantasia Op-116 No-06 Intermezzo.mid;0;142.28885343749954; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Brahms Op-09 Piano Variations on Theme (Robert Schumann) F# min.mid;0;912.5182280025834; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Brahms Sonata in C-Maj Op-01 Mov-01.mid;0;199.52209125520838; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Brahms Sonata in C-Maj Op-01 Mov-02.mid;0;266.0859899609386; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Brahms Sonata in C-Maj Op-01 Mov-03.mid;0;96.38230310156307; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Brahms Sonata in C-Maj Op-01 Mov-04.mid;0;292.30930547135193; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Burgmuller Etudes Op-109 Die Perlen (The Pearls).mid;0;86.78410124999976; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Burgmuller Etudes Op-109 Die Quelle (The Fountain).mid;0;109.9371229687487; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Burgmuller Etudes Op-109 Gewitter (Thunderstorm).mid;0;79.81295437499939; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Ballade in G minor Op-3.mid;0;541.8984965625333; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Etude Op-10 No-01.mid;0;113.46810234375057; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Etude Op-10 No-05 Schwarze-Tasten.mid;0;94.37757656250011; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Etude Op-10 No-12.mid;0;141.76134328124775; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Etude Op-25 No-01.mid;0;127.77898546874864; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Etude Op-25 No-02.mid;0;90.90936421874956; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Etude Op-25 No-03.mid;0;106.2432164062496; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Etude Op-25 No-04.mid;0;92.84846484375066; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Etude Op-25 No-11.mid;0;189.97710703124332; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Etude Op-25 No-12.mid;0;139.35349312499886; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Fantasie-Impromptu in C#.mid;0;277.4302781249971; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Grand Valse Brillante in Es-Dur.mid;0;311.9013975000091; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Mazurka Op-7 No-01.mid;0;137.78565281249965; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Mazurka Op-7 No-02.mid;0;161.28723187499938; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Nocturne Op-27 No-01.mid;0;292.68266671875017; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Nocturne Op-27 No-02.mid;0;312.4903392187535; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Nocturne Op-33 No-02.mid;0;142.76294484375043; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Nocturne Op-33 No-04.mid;0;317.2886784375017; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Polonaise in Ab major Op-.mid;0;350.70077109375364; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-01.mid;0;33.717914999999955; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-02.mid;0;118.5749348437499; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-03.mid;0;54.14524499999978; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-04.mid;0;103.8246824999998; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-05.mid;0;33.03549046874995; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-06.mid;0;93.45343218749993; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-07.mid;0;38.94894609374993; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-08.mid;0;91.65455578125052; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-09.mid;0;91.7774189062499; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-10.mid;0;25.555529999999987; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-11.mid;0;33.27721031249995; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-12.mid;0;59.63135062499962; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-13.mid;0;155.9854209375; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-14.mid;0;30.17625187499983; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-15.mid;0;275.1038915625005; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-16.mid;0;63.23711624999857; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-17.mid;0;163.21698421874967; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
